time,kafka_connect,risingwave,clickhouse,redpanda,malut_clone
18:31:42,1697,1271,505,897,177
18:31:46,1697,2181,505,897,177
18:31:49,1697,2978,499,899,177
18:31:53,1697,3358,520,899,177
18:31:57,1697,3700,509,899,177
18:32:00,1697,4367,563,899,177
18:32:04,1697,4678,514,899,177
18:32:08,1697,4879,525,900,177
18:32:12,1697,4933,516,899,177
18:32:17,1697,4917,527,899,177
18:32:20,1697,5283,517,899,177
18:32:24,1697,5668,529,898,174
18:32:28,1697,6095,520,898,174
18:32:32,1691,6543,537,892,175
18:32:36,1678,6752,530,880,175
18:32:40,1678,6722,584,875,173
18:32:43,1678,6914,529,872,173
18:32:47,1678,6922,538,865,173
18:32:51,1678,6866,532,862,174
18:32:54,1678,7035,538,839,173
18:32:58,1678,6764,536,839,173
18:33:02,1678,6599,555,840,173
18:33:05,1678,6759,553,834,172
18:33:08,1678,6748,549,826,173
18:33:12,1676,6753,561,814,173
18:33:17,1673,6747,609,811,173
18:33:20,1674,6640,590,812,172
18:33:23,1670,6776,576,806,172
18:33:27,1655,6868,579,792,171
18:33:31,1637,6943,578,775,171
18:33:34,1630,6945,572,770,171
18:33:38,1618,7016,561,760,170
18:33:41,1613,7007,574,756,170
18:33:44,1613,6974,564,753,169
18:33:48,1608,6971,584,748,169
18:33:51,1598,6994,574,741,168
18:33:55,1599,6940,619,741,168
18:33:59,1586,7085,589,733,168
18:34:02,1563,7104,560,722,167
18:34:06,1563,7024,562,722,167
18:34:10,1554,7086,557,716,166
18:34:13,1541,7114,568,709,166
18:34:17,1541,7052,556,709,166
18:34:20,1541,7052,568,709,166
18:34:23,1541,6949,567,710,166
18:34:27,1541,6908,577,710,166
18:34:30,1541,6908,577,710,166
18:34:33,1541,6909,608,710,167
18:34:37,1541,6909,571,710,167
18:34:41,1541,6909,569,710,167
18:34:44,1528,7179,573,704,167
18:34:47,1514,7455,567,696,165
18:34:51,1513,7668,575,694,166
18:34:54,1511,7490,566,693,166
18:34:58,1511,7472,579,693,166
18:35:01,1511,7464,570,693,166
18:35:04,1511,7462,590,693,166
18:35:08,1511,7449,580,693,166
18:35:11,1514,7449,639,693,166
18:35:14,1514,7448,594,693,166
18:35:18,1515,7448,586,693,166
18:35:22,1514,7433,594,693,166
18:35:25,1514,7433,587,693,166
18:35:28,1514,7092,598,693,166
18:35:32,1514,7091,595,693,166
18:35:36,1515,7092,600,693,166
18:35:39,1515,7091,594,693,166
18:35:43,1515,7091,605,693,166
18:35:46,1516,7078,602,693,166
18:35:50,1516,7314,725,693,166
18:35:53,1516,7571,808,693,166
18:35:57,1516,7835,939,693,166
18:36:01,1510,7653,1142,690,165
18:36:04,1510,7835,828,690,165
18:36:08,1510,7795,875,690,165
18:36:11,1510,7660,898,690,165
18:36:14,1510,7421,676,690,165
18:36:18,1510,7370,668,690,165
18:36:22,1510,7346,678,690,166
18:36:25,1510,7211,663,690,166
18:36:28,1510,7213,717,690,166
18:36:32,1510,7214,687,690,166
18:36:35,1510,7213,673,690,166
18:36:38,1510,7213,671,690,166
18:36:42,1510,7214,664,690,166
18:36:46,1510,7214,673,690,166
18:36:49,1510,7213,670,690,166
18:36:53,1510,7216,674,690,166
18:36:57,1510,7217,670,690,166
18:37:00,1510,7216,677,690,166
18:37:03,1510,7216,667,690,166
18:37:07,1510,7215,732,690,166
18:37:11,1510,7216,675,690,166
18:37:14,1510,7216,682,690,166
18:37:17,1511,7214,677,690,166
18:37:21,1511,7216,676,690,166
18:37:24,1511,7216,683,690,166
18:37:28,1511,7216,676,690,166
18:37:31,1511,7215,687,690,166
18:37:34,1511,7216,679,690,166
18:37:38,1511,7217,685,690,166
18:37:41,1511,7217,677,690,166
